State,Issuer_Id,Issuer_Name,Is_Issuer_New_to_Exchange,Issuer_Claims_Received_In_Network,Issuer_Claims_Denied_In_Network,Denial_Rate,Plan_Id,Plan_Type,Metal_Level,Plan_Claims_Received,Plan_Claims_Received_In_Network,Plan_Claims_Received_Out_Of_Network,Plan_Claims_Denied,Plan_Claims_Denied_In_Network,Plan_Claims_Denied_Out_Of_Network,Plan_Denial_Rate,Plan_Claims_Denial_Rate_In_Network,Plan_Claims_Denial_Rate_Out_Of_Network,Plan_Claims_Resubmitted_In_Network,Plan_Claims_Resubmitted_Out_Of_Network,Plan_Claims_Denied_Due_To_Referral_Required,Plan_Claims_Denied_Due_To_Out_Of_Network,Plan_Claims_Denied_Due_To_Services_Excluded,Plan_Claims_Denied_Due_To_Not_Medically_Necessary,Plan_Claims_Denied_Due_To_Not_Medically_Necessary_Excluding_Behavioral_Health,Plan_Claims_Denied_Due_To_Not_Medically_Necessary_Only_Behavioral_Health,Plan_Claims_Denied_Due_To_Enrollee_Benefit_Limit_Reached,Plan_Claims_Denied_Due_To_Member_Not_Covered,Plan_Claims_Denied_Due_To_Investigational_Experimental_Cosmetic_Procedure,Plan_Claims_Denied_Due_To_Administrative_Reason,Plan_Claims_Denied_Due_To_Other,Plan_Claims_Denied_Proportion_Due_To_Referral_Required,Plan_Claims_Denied_Proportion_Due_To_Services_Excluded,Plan_Claims_Denied_Proportion_Due_To_Not_Medically_Necessary,Plan_Claims_Denied_Proportion_Due_To_Not_Medically_Necessary_Excluding_Behavioral_Health,Plan_Claims_Denied_Proportion_Due_To_Not_Medically_Necessary_Only_Behavioral_Health,Plan_Claims_Denied_Proportion_Due_To_Enrollee_Benefit_Limit_Reached,Plan_Claims_Denied_Proportion_Due_To_Member_Not_Covered,Plan_Claims_Denied_Proportion_Due_To_Investigational_Experimental_Cosmetic_Procedure,Plan_Claims_Denied_Proportion_Due_To_Administrative_Reason,Plan_Claims_Denied_Proportion_Due_To_Other,Average_Monthly_Enrollment,Average_Monthly_Disenrollment
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0060002,PPO,Silver,2305854,2230333,75521,479365,460775,18590,0.207890439,0.20659471,0.246156698,221473,1280,33809,8333,88561,742,447,295,2901,46314,79,27761,270930,0.071766536,0.187988886,0.001575047,0.000948849,0.000626198,0.006157967,0.098310964,0.000167694,0.058928416,0.57510449,28263,3826
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0060004,PPO,Bronze Expanded,551327,543609,7718,109274,107154,2120,0.198201793,0.197115942,0.27468256,52080,38,6927,1718,20944,95,30,65,324,12548,**,8117,58599,0.064404857,0.194730089,0.000883277,0.00027893,0.000604348,0.00301244,0.116666977,,0.075469067,0.544833293,15735,1859
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0060018,PPO,Gold,1007161,994158,13003,193062,189362,3700,0.191689313,0.190474754,0.284549719,93780,93,14044,2854,35430,173,129,44,1260,17387,32,14019,107886,0.073826033,0.186247247,0.000909421,0.000678123,0.000231298,0.006623526,0.091399404,0.000168217,0.073694613,0.56713154,14332,1418
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0060028,PPO,Silver,996101,976846,19255,232192,227277,4915,0.23310086,0.232664105,0.255258374,101755,180,14133,2901,34507,150,89,61,820,45176,30,12658,121842,0.061631112,0.150477943,0.000654119,0.000388111,0.000266008,0.003575852,0.197003262,0.000130824,0.055198939,0.531327949,11234,1629
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0060031,PPO,Bronze Expanded,762287,749786,12501,154175,150987,3188,0.20225322,0.201373459,0.255019598,75140,85,10395,2213,28079,210,159,51,332,17414,45,11850,83648,0.068400308,0.184763083,0.001381824,0.001046238,0.000335586,0.002184599,0.114586144,0.000296105,0.077974377,0.55041356,18082,1897
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0060050,PPO,Gold,333128,327412,5716,63714,62477,1237,0.191259816,0.19082074,0.216410077,33422,108,5904,1269,11993,57,57,**,528,2841,**,5504,35613,0.094554773,0.192072389,0.000912876,0.000912876,,0.008456118,0.04549968,,0.088148623,0.570355541,4610,512
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0060051,PPO,Silver,363936,347703,16233,79013,74575,4438,0.217106854,0.214479024,0.273393704,40230,368,7213,2070,16525,108,33,75,316,3545,**,3954,45278,0.093749594,0.21478054,0.001403709,0.000428911,0.000974798,0.00410715,0.046075462,,0.051391362,0.588492182,3194,416
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0060052,PPO,Bronze Expanded,443408,437546,5862,80947,79242,1705,0.182556472,0.181105529,0.290856363,43824,16,6584,1430,16975,39,39,**,455,4862,24,5579,45018,0.082780125,0.213425367,0.000490344,0.000490344,,0.00572068,0.061129551,0.00030175,0.070144337,0.566007846,10716,1203
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0100009,POS,Gold,23558,22072,1486,3251,3149,102,0.13799983,0.142669445,0.068640646,509,25,56,**,212,,**,**,17,529,**,252,2191,0.017193737,0.065090574,,,,0.005219527,0.162419404,,0.077371815,0.672704943,501,75
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0100011,POS,Silver,25728,23154,2574,5249,5017,232,0.204018968,0.216679623,0.09013209,946,94,40,**,224,,**,**,53,2228,**,350,2349,0.007627765,0.042715484,,,,0.010106789,0.424866514,,0.066742944,0.447940503,440,72
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0100012,POS,Bronze Expanded,29418,26906,2512,3927,3742,185,0.1334897,0.139076786,0.073646497,955,63,81,**,292,,**,**,**,817,**,366,2362,0.020673813,0.07452782,,,,,0.208524758,,0.093415008,0.602858601,951,146
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0100034,POS,Gold,264333,256560,7773,36232,34698,1534,0.13706953,0.135243218,0.197349801,7778,173,716,**,2498,89,89,**,536,3116,39,6745,22486,0.019765355,0.068957902,0.002456867,0.002456867,,0.014796411,0.086017943,0.001076605,0.186197378,0.620731539,5977,674
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0100044,POS,Silver,352450,342326,10124,59221,57364,1857,0.16802667,0.167571262,0.183425524,14017,99,922,**,3061,86,59,27,740,11307,21,10251,32851,0.015564071,0.05167204,0.001451746,0.000995965,0.000455781,0.012491771,0.190870879,0.000354496,0.173044785,0.554550212,6647,971
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0100054,POS,Bronze Expanded,135398,130940,4458,19310,18735,575,0.142616582,0.1430808,0.128981606,4092,143,423,**,1396,35,35,**,93,1421,**,3845,12097,0.021905748,0.072294148,0.001812532,0.001812532,,0.004816157,0.073588814,,0.199119627,0.626462973,4926,535
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0100064,POS,Silver,974790,942490,32300,149169,142926,6243,0.153026806,0.151647232,0.193281734,35695,567,2785,**,9862,213,147,66,1548,10082,75,34216,90549,0.01864997,0.066041653,0.001426371,0.000984397,0.000441974,0.010366303,0.0675149,0.000502243,0.229130115,0.606368446,21658,2897
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0100065,POS,Silver,52890,48674,4216,7947,7521,426,0.150255247,0.154517812,0.101043643,1793,81,167,**,519,,**,**,66,1540,**,881,4761,0.021048651,0.065414671,,,,0.008318629,0.194101336,,0.111041089,0.600075624,860,148
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0100070,POS,Bronze Expanded,115392,110342,5050,15535,14861,674,0.13462805,0.134681264,0.133465347,3653,134,320,**,1297,11,11,**,80,1063,**,2925,9838,0.020599974,0.083494271,0.000708124,0.000708124,,0.005149994,0.068430539,,0.18829664,0.633320458,4662,577
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0100071,POS,Bronze Expanded,21908,19805,2103,2858,2681,177,0.130454628,0.135369856,0.084165478,632,130,53,**,243,,**,**,**,561,**,236,1755,0.018609551,0.085323034,,,,,0.196980337,,0.082865169,0.61622191,858,114
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0100072,POS,Gold,91317,87673,3644,12881,11853,1028,0.141058072,0.135195556,0.282107574,2644,16,280,**,897,,**,**,264,136,**,3247,8050,0.021749262,0.069675315,,,,0.020506447,0.010563927,,0.252213764,0.625291285,1982,280
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0100073,POS,Silver,246605,236997,9608,37874,36120,1754,0.153581639,0.152406992,0.182556203,8053,356,686,**,2439,24,24,**,450,482,11,10873,22930,0.018102652,0.064362053,0.000633329,0.000633329,,0.011874918,0.012719356,0.000290276,0.286924396,0.60509302,5168,566
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0100074,POS,Bronze Expanded,82255,79521,2734,10026,9711,315,0.121889247,0.122118686,0.115215801,2514,23,195,**,916,69,69,**,105,224,**,2228,6292,0.019443614,0.091335128,0.006880048,0.006880048,,0.010469638,0.022335228,,0.222155748,0.627380596,3001,382
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0100075,POS,Gold,8022,7304,718,996,958,38,0.124158564,0.131161008,0.052924791,229,15,24,**,113,,**,**,**,12,**,204,643,0.024096386,0.113453815,,,,,0.012048193,,0.204819277,0.645582329,128,25
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0100076,POS,Silver,3188,2877,311,294,294,**,0.092220828,0.102189781,,55,23,**,**,20,,**,**,**,**,**,39,230,,0.069204152,,,,,,,0.134948097,0.795847751,52,**
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0100077,POS,Bronze Expanded,21091,19499,1592,2106,1947,159,0.099853018,0.099851274,0.099874372,439,31,55,**,174,,**,**,19,57,**,272,1524,0.02617801,0.082817706,,,,0.009043313,0.027129938,,0.129462161,0.725368872,612,84
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390001,EPO,Gold,182473,169501,12972,29500,22589,6911,0.161667754,0.13326765,0.532762874,3477,346,361,**,1937,15,15,**,192,392,**,4979,21643,0.012229412,0.065618754,0.000508147,0.000508147,,0.006504285,0.013279583,,0.168671025,0.733188794,4648,520
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390002,EPO,Gold,103376,95833,7543,23734,19102,4632,0.229589073,0.199325911,0.614079279,2104,71,207,**,1049,,**,**,39,202,**,8797,13433,0.008724238,0.044211236,,,,0.001643697,0.008513508,,0.370759051,0.56614827,2623,305
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390003,EPO,Gold,3870,3291,579,770,437,333,0.198966408,0.132786387,0.575129534,122,**,**,**,31,,**,**,15,**,**,102,610,,0.040897098,,,,0.019788918,,,0.134564644,0.80474934,100,16
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390004,EPO,Gold,63858,59288,4570,10768,8590,2178,0.168624135,0.14488598,0.476586433,1147,50,232,**,691,,**,**,44,140,**,1957,7696,0.021561338,0.064219331,,,,0.004089219,0.013011152,,0.181877323,0.715241636,1666,226
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390005,EPO,Gold,42572,40173,2399,9847,8478,1369,0.231302264,0.211037264,0.570654439,1000,34,142,**,543,,**,**,21,74,**,4479,4626,0.0143652,0.054931715,,,,0.002124431,0.00748609,,0.453110774,0.467981791,1018,140
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390006,EPO,Gold,1788,1572,216,330,244,86,0.184563758,0.155216285,0.398148148,43,**,**,**,23,,**,**,**,**,**,63,243,,0.069908815,,,,,,,0.191489362,0.738601824,43,**
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390013,EPO,Silver,270341,247209,23132,46109,37059,9050,0.170558665,0.149909591,0.391232924,5838,550,487,**,3246,57,57,**,132,945,**,6915,34317,0.01056422,0.070413675,0.001236469,0.001236469,,0.002863403,0.02049936,,0.150003254,0.744419619,7102,931
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390014,EPO,Silver,254295,223338,30957,60585,50208,10377,0.238246918,0.224807243,0.3352069,5619,815,675,**,2701,19,19,**,114,773,**,24656,31643,0.011142107,0.044584936,0.00031363,0.00031363,,0.001881778,0.012759776,,0.406992291,0.522325482,7605,996
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390015,EPO,Silver,30192,27347,2845,6204,4745,1459,0.205484897,0.173510806,0.512829525,803,144,119,**,223,,**,**,**,99,**,1682,4068,0.01922145,0.036020029,,,,,0.015990955,,0.271684704,0.657082862,745,121
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390022,EPO,Silver,133475,121851,11624,23397,18290,5107,0.175291253,0.150101353,0.439349621,3257,230,218,**,1385,,**,**,85,529,**,2909,18268,0.009318629,0.059203214,,,,0.00363341,0.022612636,,0.124348123,0.780883987,3312,422
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390023,EPO,Silver,93661,84990,8671,24100,20360,3740,0.257310941,0.239557595,0.4313228,2240,277,223,**,907,23,23,**,39,314,**,9872,12725,0.00925196,0.037630171,0.000954238,0.000954238,,0.001618056,0.013027424,,0.409575572,0.52794258,2188,267
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390024,EPO,Silver,6756,6235,521,1273,957,316,0.188425104,0.153488372,0.606525912,124,**,**,**,42,,**,**,**,20,**,305,900,,0.033149171,,,,,0.01578532,,0.240726125,0.710339384,153,30
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390025,EPO,Silver,34422,31458,2964,6029,4682,1347,0.175149614,0.148833365,0.454453441,755,57,43,**,389,,**,**,30,92,**,985,4505,0.007114494,0.06436135,,,,0.0049636,0.015221707,,0.162971542,0.745367306,689,83
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390026,EPO,Silver,24655,22540,2115,6274,5398,876,0.25447171,0.239485359,0.414184397,553,74,46,**,275,,**,**,**,63,**,2240,3640,0.00734355,0.04390166,,,,,0.010057471,,0.357598978,0.58109834,642,91
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390027,EPO,Silver,2211,1811,400,451,327,124,0.2039801,0.180563225,0.31,32,**,**,**,14,,**,**,**,**,**,44,379,,0.032036613,,,,,,,0.100686499,0.867276888,48,**
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390028,EPO,Bronze Expanded,98476,89375,9101,16735,13281,3454,0.169939884,0.148598601,0.379518734,1907,121,125,**,1116,,**,**,57,343,**,2895,12188,0.007474288,0.066730447,,,,0.003408276,0.020509448,,0.17310452,0.728773021,4249,474
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390029,EPO,Bronze Expanded,45905,40345,5560,11255,8804,2451,0.245180264,0.218217871,0.440827338,887,107,175,**,554,,**,**,17,202,**,4189,6111,0.015558321,0.049253201,,,,0.00151138,0.017958748,,0.372421764,0.543296586,2086,236
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390030,EPO,Bronze Expanded,6301,5597,704,1147,705,442,0.182034598,0.125960336,0.627840909,207,21,14,**,68,,**,**,**,20,**,115,929,0.012216405,0.059336824,,,,,0.017452007,,0.10034904,0.810645724,255,28
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390031,EPO,Bronze Expanded,65697,60323,5374,10947,8605,2342,0.166628613,0.142648741,0.43580201,1316,83,139,**,898,,**,**,**,251,**,1273,8374,0.012711477,0.082121628,,,,,0.022953818,,0.116415181,0.765797897,3275,402
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390032,EPO,Bronze Expanded,30301,27695,2606,7161,5643,1518,0.236328834,0.20375519,0.582501919,560,15,45,**,419,,**,**,**,178,**,2625,3893,0.006284916,0.058519553,,,,,0.024860335,,0.366620112,0.543715084,1542,243
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390033,EPO,Bronze Expanded,3382,3004,378,493,358,135,0.145771733,0.119174434,0.357142857,104,**,18,**,20,,**,**,**,15,**,32,408,0.036511156,0.040567951,,,,,0.030425963,,0.064908722,0.827586207,144,24
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390034,EPO,Bronze Expanded,77960,71277,6683,12608,9848,2760,0.161723961,0.138165187,0.412988179,1397,120,105,**,1072,,**,**,61,215,**,1962,9189,0.008330689,0.085052364,,,,0.004839733,0.017058077,,0.155664868,0.729054268,3239,371
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390035,EPO,Bronze Expanded,35029,31694,3335,7962,6379,1583,0.227297382,0.201268379,0.474662669,609,54,66,**,490,34,34,**,**,106,**,2884,4382,0.008289375,0.061542326,0.004270284,0.004270284,,,0.013313238,,0.362220548,0.55036423,1579,209
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0390036,EPO,Bronze Expanded,3050,2778,272,473,332,141,0.155081967,0.119510439,0.518382353,40,**,**,**,29,,**,**,**,15,**,58,356,,0.063318777,,,,,0.032751092,,0.126637555,0.777292576,111,14
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0400001,EPO,Gold,192921,180891,12030,23516,18167,5349,0.121894454,0.100430646,0.444638404,3727,134,338,**,1613,15,15,**,28,370,14,1785,19353,0.014373193,0.068591597,0.000637864,0.000637864,,0.001190679,0.015733968,0.000595339,0.075905766,0.822971594,3896,482
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0400002,EPO,Gold,24691,23464,1227,2489,1887,602,0.100805962,0.080421071,0.490627547,739,68,50,**,143,,**,**,11,41,**,158,2084,0.020104544,0.057498995,,,,0.004423,0.016485726,,0.063530358,0.837957378,419,56
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0400003,EPO,Gold,96098,91284,4814,10761,8674,2087,0.111979438,0.095022129,0.433527212,1918,73,203,**,938,,**,**,**,187,**,713,8706,0.018888992,0.087280171,,,,,0.017400205,,0.066344096,0.810086536,1906,252
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0400004,EPO,Gold,16278,15493,785,1616,1190,426,0.099275095,0.076808881,0.542675159,542,**,32,**,75,,**,**,**,50,**,73,1368,0.020025031,0.046933667,,,,,0.031289111,,0.045682103,0.856070088,267,40
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0400009,EPO,Silver,887275,828635,58640,101069,82559,18510,0.113909442,0.099632528,0.315654843,18586,1189,1494,**,7812,73,73,**,228,2051,13,7481,81960,0.014775694,0.077260859,0.000721972,0.000721972,,0.002254925,0.020284437,0.00012857,0.073987262,0.810586281,16814,2374
NC,11512,Blue Cross and Blue Shield of NC,No,18257563,3451238,0.195525984,11512NC0400010,EPO,Silver,92628,88525,4103,9126,7188,1938,0.098523125,0.081197402,0.472337314,2605,116,195,**,540,14,14,**,42,136,**,631,7569,0.02136518,0.059165114,0.00153391,0.00153391,,0.004601731,0.014900844,,0.069135532,0.829297688,1205,202
